name,cuisine,location,rating,num_of_rating,price_for_two
Curries and Tikkaas,"Indian, Chinese","Greater Kailash 2, Lajpat Nagar",--,Too Few Ratings,₹ 400
The Chaap Street,North Indian,"Lajpat Nagar, Lajpat Nagar",--,Too Few Ratings,₹ 300
CHOCO CRAVE,Closes soonBakery,"Lajpat Nagar, Lajpat Nagar",--,Too Few Ratings,₹ 500
Kurry Kingdom,"North Indian, Burgers","GTB Nagar, GTB Nagar",--,Too Few Ratings,₹ 150
Optimum hunger bites,Pizzas,"Laxmi Nagar, Geeta Colony",--,Too Few Ratings,₹ 200
Standard Cake Shop,"Bakery, Fast Food","Baljeet Nagar, Baljeet Nagar",--,Too Few Ratings,₹ 350
Punjabi Cafe,"North Indian, Chinese","Metro Polex Mall, Swasthya Vihar",--,Too Few Ratings,₹ 400
Singh Chicken Corner,Indian,"Kirti nagar, kirti nagar",--,Too Few Ratings,₹ 200
Manisha's Bakery 24x7,"Bakery, Desserts","Laxmi Nagar, Laxmi Nagar",--,Too Few Ratings,₹ 250
OHB PIZZA,Pizzas,"Laxmi Nagar, Geeta Colony",--,Too Few Ratings,₹ 200
Optimum Quick Bites,"Indian, Pizzas","Laxmi Nagar, Geeta Colony",--,Too Few Ratings,₹ 250
Curries and Tikkaas,"Indian, Chinese","Greater Kailash 2, Lajpat Nagar",--,Too Few Ratings,₹ 400
The Chaap Street,North Indian,"Lajpat Nagar, Lajpat Nagar",--,Too Few Ratings,₹ 300
Kurry Kingdom,"North Indian, Burgers","GTB Nagar, GTB Nagar",--,Too Few Ratings,₹ 150
Optimum hunger bites,Pizzas,"Laxmi Nagar, Geeta Colony",--,Too Few Ratings,₹ 200
Standard Cake Shop,"Bakery, Fast Food","Baljeet Nagar, Baljeet Nagar",--,Too Few Ratings,₹ 350
Punjabi Cafe,"North Indian, Chinese","Metro Polex Mall, Swasthya Vihar",--,Too Few Ratings,₹ 400
Idiot Cakes,Bakery,"Laxmi Nagar, Laxmi Nagar",--,Too Few Ratings,₹ 400
Mealful Rolls - Meals in a Roll,"Fast Food, North Indian","Laxmi Nagar, Laxmi Nagar",--,Too Few Ratings,₹ 250
Pizza Lover,"Pizzas, Fast Food","shakarpur delhi, Laxmi Nagar",--,Too Few Ratings,₹ 600
Fuel Juice Bar,"Juices, Beverages","HAUZ KHAS, south-extension Part 2",--,Too Few Ratings,₹ 200
Murthal Xpress,"North Indian, Tandoor","Laxmi Nagar, Laxmi Nagar",--,Too Few Ratings,₹ 400
Ice Cream House,"Ice Cream, Biryani","Mayur Vihar, Mayur Vihar",--,Too Few Ratings,₹ 300
BBA FAST FOOD WALA,"Chinese, Fast Food","Lajpat Nagar, Lajpat Nagar",--,Too Few Ratings,₹ 150
THE ROYAL BIRYANI,Biryani,"PATEL NAGAR, west patel nagar",--,Too Few Ratings,₹ 500
Sethi's Restaurant,"North Indian, Chinese","Lajpat Nagar, Lajpat Nagar",--,Too Few Ratings,₹ 350
Maa ki khichdi,"North Indian, Healthy Food","South Extension, South Extension",--,Too Few Ratings,₹ 250
Jenny's Brownies,"Bakery, Desserts","South Extension, South Extension",--,Too Few Ratings,₹ 250
Miami Shakes & More,"Desserts, Beverages","South Extension, South Extension",--,Too Few Ratings,₹ 200
Prija Cafe (Helly and Chilly),"Fast Food, Pizzas","South Extension, South Extension",--,Too Few Ratings,₹ 150
GIVOWN FOODS,Chinese,"Lajpat Nagar, Greater Kailash 2",--,Too Few Ratings,₹ 200
Satvik Rasoi,Indian,"Laxmi Nagar, Laxmi Nagar",--,Too Few Ratings,₹ 220
Kumar's Annapurna,"North Indian, Chinese","Sher Singh Bazar, Delhi",--,Too Few Ratings,₹ 250
Cake N Pastries,Bakery,"Dr. Ambedkar Road, Kirti Nagar",--,Too Few Ratings,₹ 200
BURGER TOWN,"Beverages, Continental","Laxmi Nagar, Laxmi Nagar",--,Too Few Ratings,₹ 400
SARDAR JI MAGGIE WALE,"Fast Food, Pizzas","Laxmi Nagar, Laxmi Nagar",--,Too Few Ratings,₹ 400
FOOD PORN,"Chinese, Fast Food","South Campus, South Campus",--,Too Few Ratings,₹ 300
LUMINOUS WOK,Chinese,"South Campus, South Campus",--,Too Few Ratings,₹ 250
DRAGONFLY CHINA,"Chinese, Fast Food","South Campus, South Campus",--,Too Few Ratings,₹ 250
Jenny's Brownies,"Bakery, Desserts","South Extension, South Extension",--,Too Few Ratings,₹ 250
Miami Shakes & More,"Desserts, Beverages","South Extension, South Extension",--,Too Few Ratings,₹ 200
Prija Cafe (Helly and Chilly),"Fast Food, Pizzas","South Extension, South Extension",--,Too Few Ratings,₹ 150
GIVOWN FOODS,Chinese,"Lajpat Nagar, Greater Kailash 2",--,Too Few Ratings,₹ 200
Satvik Rasoi,Indian,"Laxmi Nagar, Laxmi Nagar",--,Too Few Ratings,₹ 220
Kumar's Annapurna,"North Indian, Chinese","Sher Singh Bazar, Delhi",--,Too Few Ratings,₹ 250
Cake N Pastries,Bakery,"Dr. Ambedkar Road, Kirti Nagar",--,Too Few Ratings,₹ 200
BURGER TOWN,"Beverages, Continental","Laxmi Nagar, Laxmi Nagar",--,Too Few Ratings,₹ 400
SARDAR JI MAGGIE WALE,"Fast Food, Pizzas","Laxmi Nagar, Laxmi Nagar",--,Too Few Ratings,₹ 400
FOOD PORN,"Chinese, Fast Food","South Campus, South Campus",--,Too Few Ratings,₹ 300
LUMINOUS WOK,Chinese,"South Campus, South Campus",--,Too Few Ratings,₹ 250
DRAGONFLY CHINA,"Chinese, Fast Food","South Campus, South Campus",--,Too Few Ratings,₹ 250
CUISINE QI,Chinese,"South Campus, South Campus",--,Too Few Ratings,₹ 250
Gopala,"Sweets, Desserts","Laxmi Nagar, Laxmi Nagar",--,Too Few Ratings,₹ 200
Shinchann Cafe,"Chinese, Fast Food","Lajpat Nagar, Lajpat Nagar",--,Too Few Ratings,₹ 400
chicago burger,"Indian, Italian","Laxmi Nagar, Nirman Vihar",--,Too Few Ratings,₹ 150
Pizza Boom,"Opens next at 2 pm, tomorrowItalian, Pizzas","Laxmi Nagar, Laxmi Nagar",--,Too Few Ratings,₹ 400
Vindhwashni Bakers Confectioner & Florist,"Bakery, Desserts","Laxmi Nagar, Laxmi Nagar",--,Too Few Ratings,₹ 300
Shel Food Cafe,"North Indian, Indian","Laxmi Nagar, Laxmi Nagar",--,Too Few Ratings,₹ 200
MEHAK FOODS,"Indian, Beverages","Laxmi Nagar, Laxmi Nagar",--,Too Few Ratings,₹ 400
Pizza Door,"Italian, Pizzas","Laxmi Nagar, Laxmi Nagar",--,Too Few Ratings,₹ 400
Cake 24x7,Bakery,"Laxmi Nagar, Laxmi Nagar",--,Too Few Ratings,₹ 500
Pizza 7 Days,"Opens next at 2 pm, tomorrowItalian, Pizzas","Laxmi Nagar, Laxmi Nagar",--,Too Few Ratings,₹ 400
AL AMIN CHICKEN AND MUTTON,"North Indian, Indian","Laxmi Nagar, Laxmi Nagar",--,Too Few Ratings,₹ 400
Big Fat Cafe,"Opens next at 2 pm, tomorrowItalian, Pizzas","Laxmi Nagar, Laxmi Nagar",--,Too Few Ratings,₹ 400
Rashid Biryani Plaza,"Opens next at 12 noon, tomorrowBiryani","RAMESH PARK, Laxmi Nagar",--,Too Few Ratings,₹ 200
Hot Chilli Chinese Food,"Chinese, Burgers","Mayur Vihar, Mayur Vihar",--,Too Few Ratings,₹ 300
The cake bakery,Bakery,"Laxmi Nagar, Laxmi Nagar",--,Too Few Ratings,₹ 300
Shakes Cyclone,"Italian, Pizzas","Laxmi Nagar, Laxmi Nagar",--,Too Few Ratings,₹ 400
Super Burgers (Exotic and Healthy),Fast Food,"Baljeet nagar, Baljeet nagar",--,Too Few Ratings,₹ 250
Coffee waala,Beverages,"South Extension, South Extension",--,Too Few Ratings,₹ 200
Maggi Hut,"Opens next at 2 pm, tomorrowItalian, Pizzas","Laxmi Nagar, Laxmi Nagar",--,Too Few Ratings,₹ 400
Khan roll wala,Snacks,"Mayur Vihar, Mayur Vihar",--,Too Few Ratings,₹ 350
Sardar Ji Meat Wale,North Indian,"Mayur Vihar, Mayur Vihar",--,Too Few Ratings,₹ 300
HIBBOZ,"Pizzas, Burgers","Mayur Vihar, Mayur Vihar",--,Too Few Ratings,₹ 300
Food Singh - Taste Of Punjab,"North Indian, Fast Food","Laxmi Nagar, Laxmi Nagar",--,Too Few Ratings,₹ 300
Thande Ka Fanda,Beverages,"LajpatNagar, Lajpat Nagar",--,Too Few Ratings,₹ 300
Vaango,"Indian, Punjabi","Laxmi Nagar, Laxmi Nagar",--,Too Few Ratings,₹ 300
Purewow,"North Indian, South Indian","Mayur Vihar, Mayur Vihar",--,Too Few Ratings,₹ 300
ROYAL PIZZA,"Pizzas, Fast Food","Laxmi Nagar, Laxmi Nagar",--,Too Few Ratings,₹ 400
BURGER'S WORLD,"Pizzas, Continental","Laxmi Nagar, Laxmi Nagar",--,Too Few Ratings,₹ 400
The sandwich castle,"Snacks, Fast Food","Laxmi Nagar, Nirman Vihar",--,Too Few Ratings,₹ 200
Desi Ghee Ka Khana,"North Indian, Beverages","Bhogal, Lajpat Nagar",--,Too Few Ratings,₹ 150
Veeru Dhaba,North Indian,"Lajpat Nagar 1, Lajpat Nagar",--,Too Few Ratings,₹ 300
Ask Cake Shop,Bakery,"Laxmi Nagar, Laxmi Nagar",--,Too Few Ratings,₹ 350
Vindhwashni Bakers Confectioner & Florist,"Bakery, Desserts","Laxmi Nagar, Laxmi Nagar",--,Too Few Ratings,₹ 300
Shel Food Cafe,"North Indian, Indian","Laxmi Nagar, Laxmi Nagar",--,Too Few Ratings,₹ 200
MEHAK FOODS,"Indian, Beverages","Laxmi Nagar, Laxmi Nagar",--,Too Few Ratings,₹ 400
Bakery by Foodhall,"Bakery, Desserts","South Campus, Chanakyapuri",--,Too Few Ratings,₹ 250
Swaad Restaurant,North Indian,"Laxmi Nagar, Laxmi Nagar",--,Too Few Ratings,₹ 200
Annapurna Food Corner,"Chinese, Snacks","Laxmi Nagar, Laxmi Nagar",--,Too Few Ratings,₹ 150
Food Paradise,"American, Continental","Ganesh Nagar, Patparganj",--,Too Few Ratings,₹ 500
Pizza Combo,"Opens next at 2 pm, tomorrowItalian, Pizzas","Laxmi Nagar, Laxmi Nagar",--,Too Few Ratings,₹ 400
Monginis,"Bakery, Desserts","Ashok Vihar, Ashok Vihar",--,Too Few Ratings,₹ 300
Sushi and More,Japanese,"South Campus, Chanakyapuri",--,Too Few Ratings,₹ 1000
Xoco chocolates by Foodhall,Desserts,"South Campus, Chanakyapuri",--,Too Few Ratings,₹ 300
Nanha Punjab,"North Indian, Chinese","Laxmi Nagar, Laxmi Nagar",--,Too Few Ratings,₹ 350
MARWADI PARATHA HOUSE,"North Indian, Combo","Laxmi Nagar, Laxmi Nagar",--,Too Few Ratings,₹ 250
Shakes N Fries,"Beverages, Snacks","Laxmi Nagar, Laxmi Nagar",--,Too Few Ratings,₹ 300
Chinese Monkey,"Chinese, Pan-Asian","Lajpat Nagar, Lajpat Nagar",--,Too Few Ratings,₹ 200
Chinese Town,"Chinese, Pan-Asian","Lajpat Nagar, Lajpat Nagar",--,Too Few Ratings,₹ 250
The Great Wok Of China,Chinese,"Lajpat Nagar, Lajpat Nagar",--,Too Few Ratings,₹ 300
THE CHILLOUT,"Burgers, Chinese","Mayur Vihar, Mayur Vihar",--,Too Few Ratings,₹ 300
Pizza Best,"Opens next at 11 am, tomorrowItalian","South Extension, South Extension I",--,Too Few Ratings,₹ 200
Cafe by Foodhall,"Continental, Desserts","Yashwant Palace, Chanakyapuri",--,Too Few Ratings,₹ 1100
Roll Addiction,Fast Food,"Mayur Vihar, Ganesh Nagar",--,Too Few Ratings,₹ 150
ROYCE' Chocolate,Desserts,"The Chanakya, Chanakyapuri",--,Too Few Ratings,₹ 750
Romeo Lane,Continental,"Lajpat Nagar, Defence Colony",--,Too Few Ratings,₹ 1000
Bakery by Foodhall,"Bakery, Desserts","South Campus, Chanakyapuri",--,Too Few Ratings,₹ 250
Swaad Restaurant,North Indian,"Laxmi Nagar, Laxmi Nagar",--,Too Few Ratings,₹ 200
Annapurna Food Corner,"Chinese, Snacks","Laxmi Nagar, Laxmi Nagar",--,Too Few Ratings,₹ 150
Food Paradise,"American, Continental","Ganesh Nagar, Patparganj",--,Too Few Ratings,₹ 500
Pizza Combo,"Opens next at 2 pm, tomorrowItalian, Pizzas","Laxmi Nagar, Laxmi Nagar",--,Too Few Ratings,₹ 400
Monginis,"Bakery, Desserts","Ashok Vihar, Ashok Vihar",--,Too Few Ratings,₹ 300
Sushi and More,Japanese,"South Campus, Chanakyapuri",--,Too Few Ratings,₹ 1000
Xoco chocolates by Foodhall,Desserts,"South Campus, Chanakyapuri",--,Too Few Ratings,₹ 300
Nanha Punjab,"North Indian, Chinese","Laxmi Nagar, Laxmi Nagar",--,Too Few Ratings,₹ 350
MARWADI PARATHA HOUSE,"North Indian, Combo","Laxmi Nagar, Laxmi Nagar",--,Too Few Ratings,₹ 250
Shakes N Fries,"Beverages, Snacks","Laxmi Nagar, Laxmi Nagar",--,Too Few Ratings,₹ 300
Chinese Monkey,"Chinese, Pan-Asian","Lajpat Nagar, Lajpat Nagar",--,Too Few Ratings,₹ 200
Chinese Town,"Chinese, Pan-Asian","Lajpat Nagar, Lajpat Nagar",--,Too Few Ratings,₹ 250
The Great Wok Of China,Chinese,"Lajpat Nagar, Lajpat Nagar",--,Too Few Ratings,₹ 300
THE CHILLOUT,"Burgers, Chinese","Mayur Vihar, Mayur Vihar",--,Too Few Ratings,₹ 300
Pizza Best,"Opens next at 11 am, tomorrowItalian","South Extension, South Extension I",--,Too Few Ratings,₹ 200
Paratha Singh,Indian,"Janakpuri, Janakpuri",--,Too Few Ratings,₹ 100
Wat A Paratha,"North Indian, Indian","Janakpuri, Janakpuri",--,Too Few Ratings,₹ 100
Midnight Paratha Junction,"North Indian, Indian","Janakpuri, Janakpuri",--,Too Few Ratings,₹ 100
Takeout Cafe,"Cafe, Snacks","Lajpat Nagar, Lajpat Nagar",--,Too Few Ratings,₹ 250
Love At First Bite,Desserts,"Lajpat Nagar, Lajpat Nagar",--,Too Few Ratings,₹ 250
INOX,Snacks,"DELHI EROS JANGPURA, Block H",--,Too Few Ratings,₹ 400
Pizza Burger Wala,"Opens next at 11 am, tomorrowItalian","South Extension, South Extension I",--,Too Few Ratings,₹ 200
HUNGERFOX FOODS PRIVATE LIMITED,"Indian, Kebabs","Laxmi Nagar, Laxmi Nagar",--,Too Few Ratings,₹ 150
Make My Thali,"Chinese, Pastas","Laxmi Nagar, Laxmi Nagar",--,Too Few Ratings,₹ 200
Ghar ka Khana,"North Indian, Punjabi","Laxmi Nagar, Laxmi Nagar",--,Too Few Ratings,₹ 300
MR MOMOS,"Chinese, North Indian","Lajpat Nagar, Lajpat Nagar",--,Too Few Ratings,₹ 300
KCROASTERS by Koinonia,Beverages,"South Campus, Chanakyapuri",--,Too Few Ratings,₹ 300
Sticky Rice,"Asian, Pan-Asian","South Extension, South Extension",--,Too Few Ratings,₹ 1000
Mannat Restaurant,Indian,"Laxmi Nagar, Laxmi Nagar",--,Too Few Ratings,₹ 200
Indian Flavours Dhaba,"North Indian, Chinese","Mayur Vihar, Mayur Vihar",--,Too Few Ratings,₹ 250
Arya Food & Baker,"Bakery, Italian","South Extension, South Extension",--,Too Few Ratings,₹ 400
HOUSE OF AWADH,"Biryani, North Indian","Lajpat Nagar, Lajpat Nagar",--,Too Few Ratings,₹ 600
Mr. Pandit Ji Parantha Hut,North Indian,"Laxmi Nagar, Laxmi Nagar",--,Too Few Ratings,₹ 100
Dirty Dough Pizza By Moets,"Pizzas, Pastas","South Extension, South Extension",--,Too Few Ratings,₹ 500
China Town Sizzlers,"Chinese, Tibetan","Yashwant Place, Chanakyapuri",--,Too Few Ratings,₹ 500
Noto Healthy Ice Cream,"Ice Cream, Desserts","Khan Market, Khan Market",--,Too Few Ratings,₹ 250
Chinese Garden,Chinese,"South Campus, Yashwant Place",--,Too Few Ratings,₹ 300
GOLDEN DRAGON,"North Indian, Snacks","Lajpat Nagar, Lajpat Nagar",--,Too Few Ratings,₹ 300
Pizza Like Pizza,"Opens next at 11 am, tomorrowNorth Indian, Pizzas","South Extension, South Extension I",--,Too Few Ratings,₹ 200
Pal Refreshment Corner,"North Indian, Chinese","Jangpura Extension Market, New Lajpat Nagar",--,Too Few Ratings,₹ 300
CYBER FOOD,"North Indian, Chinese","Laxmi Nagar, Laxmi Nagar",--,Too Few Ratings,₹ 200
Radhe Radhe Foods,"Indian, Fast Food","Laxmi Nagar, Laxmi Nagar",--,Too Few Ratings,₹ 200
YO PAAJI FOODS,"Indian, Snacks","Laxmi Nagar, Laxmi Nagar",--,Too Few Ratings,₹ 300
Indoo himalaya chinese fast food,"Chinese, Fast Food","Laxmi Nagar, Laxmi Nagar",--,Too Few Ratings,₹ 180
Pizza RP,"Pizzas, American","Laxmi Nagar, Shakarpur Khas",--,Too Few Ratings,₹ 200
Singh's veg grill,"Chinese, Punjabi","Laxmi Nagar, Laxmi Nagar",--,Too Few Ratings,₹ 200
TVF - The Vegan Factory,Indian,"Laxmi Nagar, Laxmi Nagar",--,Too Few Ratings,₹ 300
GOOD MORNING CAFE,"North Indian, Fast Food","Laxmi Nagar, Laxmi Nagar",--,Too Few Ratings,₹ 350
Italy Burger,Fast Food,"Laxmi Nagar, Laxmi Nagar",--,Too Few Ratings,₹ 200
Paaji Tandoori Junction,"North Indian, Chinese","Lajpat Nagar, Lajpat Nagar",--,Too Few Ratings,₹ 300
Singh Fast Food,"Chinese, Fast Food","Laxmi Nagar, Laxmi Nagar",--,Too Few Ratings,₹ 250
Anything But Sugar,"Sweets, Bakery","Defence Colony,near Twenty Four Seven & Apple Store, South extension",--,Too Few Ratings,₹ 400
Hungerout Pizza,"Pizzas, Italian","Rohini, NSP",--,Too Few Ratings,₹ 350
LAGUNA SIZZLERS,"Chinese, Asian","South Campus, Chanakyapuri",--,Too Few Ratings,₹ 300
AGNEE PIZZA,Pizzas,"Lajpat Nagar, Lajpat Nagar",--,Too Few Ratings,₹ 100
Kulfi villa,"Beverages, Sweets","Mayur Vihar, Mayur Vihar",--,Too Few Ratings,₹ 150
Sushi Junction,"Sushi, Japanese","Laxmi Nagar, Laxmi Nagar",--,Too Few Ratings,₹ 1100
Chinese Chilli,"Continental, Chinese","Laxmi Nagar, Laxmi Nagar",--,Too Few Ratings,₹ 250
The Food Joint,Fast Food,"vijay block, Laxmi Nagar",--,Too Few Ratings,₹ 200
The Chinese Kafei,Chinese,"Vijay block,LaxmiNagar, Laxmi Nagar",--,Too Few Ratings,₹ 200
FRUITTO FRESH,Beverages,"Lajpat Nagar, Lajpat Nagar",--,Too Few Ratings,₹ 250
CHAAP ADDA,"North Indian, Chinese","Laxmi Nagar, Laxmi Nagar",--,Too Few Ratings,₹ 250
Daebak Cafe - Delight In Every Bite,Korean,"Laxmi Nagar, Laxmi Nagar",--,Too Few Ratings,₹ 600
PARANTHA IN DESI GHEE,"North Indian, Desserts","Laxmi Nagar, Laxmi Nagar",--,Too Few Ratings,₹ 150
Food Factory,North Indian,"vijay block ,gopala complex,LaxmiNagar ,New Delhi, Laxmi Nagar",--,Too Few Ratings,₹ 250
CHINEESE DRAGON,"Chinese, Snacks","Laxmi Nagar, Laxmi Nagar",--,Too Few Ratings,₹ 250
PIZZA INDIANS,"Pizzas, Snacks","Laxmi Nagar, Laxmi Nagar",--,Too Few Ratings,₹ 200
Assam food stall,"North Indian, Chinese","South Extension, South Extension",--,Too Few Ratings,₹ 500
Chandni Chowk Paratha Corner,"Indian, Punjabi","Laxmi Nagar, Laxmi Nagar",--,Too Few Ratings,₹ 200
Pizza Junction,"Pizzas, Italian","Lajpat Nagar, Lajpat Nagar",--,Too Few Ratings,₹ 250
Pasta By Eataliano,Pastas,"Nagar, Laxmi",--,Too Few Ratings,₹ 200
Bake n Shake,"Pizzas, Fast Food","Laxmi Nagar, Laxmi Nagar",--,Too Few Ratings,₹ 200
The cake n cafe,Bakery,"Laxmi Nagar, Shakarpur Khas",--,Too Few Ratings,₹ 399
The Food Maharaja,"North Indian, Chinese","Laxmi Nagar, Laxmi Nagar",--,Too Few Ratings,₹ 200
The Burger Company,"Burgers, Beverages","Laxmi Nagar, Laxmi Nagar",--,Too Few Ratings,₹ 300
The Pizza Villa,"Pizzas, Burgers","Lajpat Nagar, Lajpat Nagar",--,Too Few Ratings,₹ 250
Quick Pizza,"Italian, Pizzas","Lajpat Nagar, Lajpat Nagar",--,Too Few Ratings,₹ 250
Rock N Roll Pizza,"Pizzas, Burgers","Lajpat Nagar, Lajpat Nagar",--,Too Few Ratings,₹ 250
SPICY VALLEY,"North Indian, Chinese","Laxmi Nagar, Laxmi Nagar",--,Too Few Ratings,₹ 300
Paddler,"Pizzas, Beverages","LAXMI NAGAR, LAXMI NAGAR",--,Too Few Ratings,₹ 150
Pizza King,Turkish,"Nagar, Laxmi",--,Too Few Ratings,₹ 200
Pizza Heavens,"Pizzas, Italian","Lajpat Nagar, Lajpat Nagar",--,Too Few Ratings,₹ 250
Mini Cafe,"Italian, Fast Food","Laxmi Nagar, Laxmi Nagar",--,Too Few Ratings,₹ 500
PANDIT JI PARATHA HUT,Indian,"Laxmi Nagar, Laxmi Nagar",--,Too Few Ratings,₹ 100
My Punjab,Indian,"South Extension, Hauz Khas",--,Too Few Ratings,₹ 500
